,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
0,0,-0.005110685675656399,2020-08-07 13:01:51.954950,2020-08-07 14:13:40.167042,0 days 01:11:48.212092000,0.00020151001892486245,128,48.0,0.006641433594043129,0.9886392519884224,66,0.0079550583993721,COMPLETE
1,1,-0.009910185109026876,2020-08-07 14:13:40.167601,2020-08-07 14:36:23.686342,0 days 00:22:43.518741000,0.0002631492119686273,512,32.0,0.00010732306245640027,0.709484108252236,96,1.4804862381035713e-06,COMPLETE
2,2,-0.06315859702240723,2020-08-07 14:36:23.686868,2020-08-07 15:38:34.104412,0 days 01:02:10.417544000,4.872302628844397e-06,128,16.0,0.006186243823706561,0.7221415226950699,25,0.00014829453105888313,COMPLETE
3,3,-0.16420118459608293,2020-08-07 15:38:34.104942,2020-08-07 16:02:23.653222,0 days 00:23:49.548280000,0.0005875332638029261,512,112.0,0.0008512197645506802,0.9951833844727853,51,3.499882503967017e-06,COMPLETE
4,4,-0.014116545943868276,2020-08-07 16:02:23.653739,2020-08-07 16:25:35.526829,0 days 00:23:11.873090000,0.006247081534524653,512,16.0,0.0006687089096491988,0.8939664938655412,16,0.0014334003378127587,COMPLETE
5,5,-0.048396623041220464,2020-08-07 16:25:35.527349,2020-08-07 16:48:01.654805,0 days 00:22:26.127456000,1.835094498935175e-05,512,16.0,0.004810550034476681,0.9036452459773514,10,0.0002221530536789001,COMPLETE
6,6,-0.12557851715950066,2020-08-07 16:48:01.655326,2020-08-07 17:10:41.075206,0 days 00:22:39.419880000,0.00230819777720933,512,80.0,0.00236828269615152,0.7223472761439489,50,1.1661251640273833e-05,COMPLETE
7,7,-0.007514603087201439,2020-08-07 17:10:41.075729,2020-08-07 17:33:10.484995,0 days 00:22:29.409266000,3.717121147854621e-05,512,16.0,0.00015987093307902702,0.506907349291026,33,0.0016841943424955516,COMPLETE
8,8,-0.005110685675656399,2020-08-07 17:33:10.485525,2020-08-07 18:25:23.597159,0 days 00:52:13.111634000,1.8258091978559813e-05,128,80.0,0.001544161136079085,0.7143321128599092,91,1.890355510042131e-06,COMPLETE
9,9,-0.005110685675656399,2020-08-07 18:25:23.597681,2020-08-07 19:17:23.738009,0 days 00:52:00.140328000,5.189906255337364e-05,128,16.0,0.0005870630429605648,0.9959276145612307,92,2.5993460073420384e-05,COMPLETE
10,10,-0.06084445530940097,2020-08-07 19:17:23.738547,2020-08-07 19:40:41.033292,0 days 00:23:17.294745000,0.0014122700558958068,384,128.0,0.00029139194126595694,0.5679860045152005,69,7.655918052608152e-06,COMPLETE
11,11,-0.1345467261064789,2020-08-07 19:40:41.033810,2020-08-07 20:04:42.716177,0 days 00:24:01.682367000,0.0019615704120088404,384,112.0,0.002021391907142988,0.8314656936899755,44,7.3402192681542824e-06,COMPLETE
12,12,-0.14989977205986177,2020-08-07 20:04:42.716708,2020-08-07 20:28:17.814504,0 days 00:23:35.097796000,0.0010151515308485363,384,128.0,0.002461721719944013,0.8506578558215516,48,3.3022547243242825e-06,COMPLETE
13,13,-0.12950433739827025,2020-08-07 20:28:17.815032,2020-08-07 20:59:30.802951,0 days 00:31:12.987919000,0.00038316773054676226,256,112.0,0.0010967950338380775,0.8255028857301113,67,1.4368216999912937e-06,COMPLETE
14,14,-0.1586287180888827,2020-08-07 20:59:30.803490,2020-08-07 21:23:37.739943,0 days 00:24:06.936453000,0.0006853887304294135,384,128.0,0.003422546940389686,0.9232040875231459,38,3.418618533998349e-05,COMPLETE
15,15,-0.07886714223565369,2020-08-07 21:23:37.740469,2020-08-07 21:55:59.189889,0 days 00:32:21.449420000,0.0004660839060573259,256,96.0,0.0003370626591167842,0.9543121506698892,37,3.8797746339987006e-05,COMPLETE
16,16,-0.1666955373817086,2020-08-07 21:55:59.190410,2020-08-07 22:18:37.636566,0 days 00:22:38.446156000,0.00845790891786064,384,112.0,0.00995379807037508,0.9393328274887869,60,4.8064437881484076e-05,COMPLETE
17,17,-0.15475057177666107,2020-08-07 22:18:37.637222,2020-08-07 22:48:24.782801,0 days 00:29:47.145579000,0.007670435823989988,256,96.0,0.00956902785527898,0.6213022798886341,80,0.00026708843805393315,COMPLETE
18,18,-0.13517452632789861,2020-08-07 22:48:24.783297,2020-08-07 23:11:30.509452,0 days 00:23:05.726155000,0.009604623651894535,384,64.0,0.0007312748799517692,0.985232597277987,58,0.000702568773816607,COMPLETE
19,19,-0.07669965563878713,2020-08-07 23:11:30.509958,2020-08-07 23:33:59.297879,0 days 00:22:28.787921000,1.5507710330700802e-06,384,112.0,0.0003768989324059302,0.7787131725482722,80,6.297922518812027e-05,COMPLETE
20,20,-0.10892435312751586,2020-08-07 23:33:59.298396,2020-08-07 23:53:49.936855,0 days 00:19:50.638459000,0.003526989993427013,512,96.0,0.0010386343559452512,0.9507414614574877,54,1.7180000735574536e-05,COMPLETE
21,21,-0.15966584497765324,2020-08-07 23:53:49.937362,2020-08-08 00:17:42.549570,0 days 00:23:52.612208000,0.0007465271765502797,384,128.0,0.0037427850412974305,0.917579800530236,38,6.284012284643137e-05,COMPLETE
22,22,-0.1522205970730361,2020-08-08 00:17:42.550078,2020-08-08 00:48:43.457894,0 days 00:31:00.907816000,0.00014041571568031733,256,112.0,0.003834902207533732,0.861357993497463,27,8.720473222567122e-05,COMPLETE
23,23,-0.15506416319694089,2020-08-08 00:48:43.458398,2020-08-08 01:12:06.623432,0 days 00:23:23.165034000,0.003282970493687669,384,128.0,0.009704811945656163,0.9503376080325231,60,4.393092873034965e-06,COMPLETE
24,24,-0.124597308635975,2020-08-08 01:12:06.623935,2020-08-08 01:34:18.515266,0 days 00:22:11.891331000,9.171583030699879e-05,384,96.0,0.0013516467852761286,0.9950338287045175,42,0.0004893416729257877,COMPLETE
25,25,-0.06707390039371587,2020-08-08 01:34:18.515770,2020-08-08 02:05:21.558581,0 days 00:31:03.042811000,0.0007701998507779646,256,112.0,0.008137794049761761,0.8881905297049798,76,7.078590376666432e-05,COMPLETE
26,26,-0.13813115615290827,2020-08-08 02:05:21.559093,2020-08-08 02:25:44.171353,0 days 00:20:22.612260000,0.00041261590647692035,512,128.0,0.003269234032221006,0.7884232957789147,30,1.4738425628640656e-05,COMPLETE
27,27,-0.07560579058881549,2020-08-08 02:25:44.171863,2020-08-08 02:48:19.576719,0 days 00:22:35.404856000,0.005349768959546148,384,80.0,0.0004928366788904253,0.9318377872149657,53,0.00015909619725867907,COMPLETE
28,28,-0.14030199786811665,2020-08-08 02:48:19.577239,2020-08-08 03:08:31.713682,0 days 00:20:12.136443000,0.0012420877558622524,512,112.0,0.0018891716315981397,0.964679591122847,22,3.4028326574995614e-06,COMPLETE
29,29,-0.06465867691023282,2020-08-08 03:08:31.714186,2020-08-08 03:32:07.721698,0 days 00:23:36.007512000,0.00016571210912089094,384,64.0,0.006253355037978655,0.9916653759545361,62,4.6496576974542786e-05,COMPLETE
30,30,-0.06209903484777423,2020-08-08 03:32:07.722197,2020-08-08 04:02:35.503599,0 days 00:30:27.781402000,7.142396669138685e-05,256,96.0,0.00021653751884842903,0.8805223754918395,72,0.009216783996854253,COMPLETE
31,31,-0.1583906693693618,2020-08-08 04:02:35.504101,2020-08-08 04:25:01.967232,0 days 00:22:26.463131000,0.0006904619827723586,384,128.0,0.0033048786973464087,0.9191599820109058,45,2.6250608090345152e-05,COMPLETE
32,32,-0.16738881114912374,2020-08-08 04:25:01.967741,2020-08-08 04:47:46.946036,0 days 00:22:44.978295000,0.00022963781673507956,384,128.0,0.00514509625586426,0.9171240300204208,40,3.381487751244703e-05,COMPLETE
33,33,-0.10937465531048995,2020-08-08 04:47:46.946539,2020-08-08 05:09:55.525240,0 days 00:22:08.578701000,0.0004797715981726441,384,128.0,0.004925500920871571,0.9999158576720015,36,0.00011227146717258103,COMPLETE
34,34,-0.16347373761360795,2020-08-08 05:09:55.525743,2020-08-08 05:29:23.141649,0 days 00:19:27.615906000,0.0003387477957027674,512,112.0,0.008098244670617333,0.81366121900951,20,0.0005212530888871312,COMPLETE
35,35,-0.14472996284418874,2020-08-08 05:29:23.142154,2020-08-08 05:48:36.774759,0 days 00:19:13.632605000,0.00026041898760702096,512,112.0,0.007171008036611259,0.6484194405363117,11,0.004816597816114668,COMPLETE
36,36,-0.10386384162747764,2020-08-08 05:48:36.775259,2020-08-08 06:08:10.785386,0 days 00:19:34.010127000,0.0002324291764183721,512,48.0,0.004967580339714573,0.7957775777236029,17,0.0016457316812564847,COMPLETE
37,37,-0.08358982206619762,2020-08-08 06:08:10.785889,2020-08-08 06:27:19.778621,0 days 00:19:08.992732000,1.9116360289737628e-05,512,96.0,0.000792586482952633,0.7485281069529065,63,0.0004716107287990653,COMPLETE
38,38,-0.14060746580089098,2020-08-08 06:27:19.779126,2020-08-08 06:45:56.773748,0 days 00:18:36.994622000,0.00012110784591490295,512,112.0,0.009281354820760767,0.8703925834473383,21,0.004079769187558153,COMPLETE
39,39,-0.16012415405936498,2020-08-08 06:45:56.774250,2020-08-08 07:06:09.973951,0 days 00:20:13.199701000,3.219957766772901e-05,512,112.0,0.0061550348774913844,0.8265866661584246,55,0.0002684836875881074,COMPLETE
40,40,-0.057630368596010256,2020-08-08 07:06:09.974459,2020-08-08 07:26:17.717038,0 days 00:20:07.742579000,0.00022260336388193867,512,80.0,0.0004920882701361363,0.9039122509751896,48,0.0001571480309159758,COMPLETE
41,41,-0.16483358022206923,2020-08-08 07:26:17.717529,2020-08-08 07:46:01.324299,0 days 00:19:43.606770000,8.08205810271882e-06,512,112.0,0.005904247064399241,0.8205422023364047,55,0.0002589172691971738,COMPLETE
42,42,-0.1414346663834055,2020-08-08 07:46:01.324813,2020-08-08 08:04:31.596371,0 days 00:18:30.271558000,6.193902853722884e-06,512,112.0,0.007432111289937669,0.7607572312327584,52,0.0007849520558125941,COMPLETE
43,43,-0.16132944180338352,2020-08-08 08:04:31.596886,2020-08-08 08:22:58.718259,0 days 00:18:27.121373000,4.6486008032111995e-06,512,96.0,0.005374136246811156,0.8155313068427495,58,0.0002455731772458105,COMPLETE
44,44,-0.14792391206582106,2020-08-08 08:22:58.718758,2020-08-08 08:41:30.173069,0 days 00:18:31.454311000,1.9357185687014953e-06,512,128.0,0.0025656544826267638,0.84897404098392,42,0.0010177545774873993,COMPLETE
45,45,-0.15483421957361213,2020-08-08 08:41:30.173568,2020-08-08 09:00:01.372842,0 days 00:18:31.199274000,8.796945585568327e-06,512,112.0,0.00846680523850255,0.7384250584859183,66,1.0755980564544095e-06,COMPLETE
46,46,-0.14421745360191324,2020-08-08 09:00:01.373347,2020-08-08 09:18:38.046899,0 days 00:18:36.673552000,3.871470280885558e-05,512,128.0,0.0041873952934695985,0.9678013251810671,49,0.0003758662422077139,COMPLETE
47,47,-0.09338152392863644,2020-08-08 09:18:38.047407,2020-08-08 09:40:24.492768,0 days 00:21:46.445361000,0.0018264018530853737,384,96.0,0.0015202095576411993,0.6939077848574101,31,9.080776726521603e-06,COMPLETE
48,48,-0.14252125726731815,2020-08-08 09:40:24.493280,2020-08-08 09:58:42.595645,0 days 00:18:18.102365000,7.425894466314784e-05,512,112.0,0.009823257835867058,0.8088532405761776,70,0.00013181923057480196,COMPLETE
49,49,-0.05191666587888954,2020-08-08 09:58:42.596147,2020-08-08 10:20:25.522723,0 days 00:21:42.926576000,1.042368261132571e-06,384,32.0,0.0008286451304278482,0.8518149993175435,56,0.0029961669335120903,COMPLETE
